[INFO ] [2016-03-14 15:48:36, 253] core.FileScanner  - [HttpLog_2015-09-21.txt] is txt file
[INFO ] [2016-03-14 15:48:36, 254] core.FileScanner  - [HttpLog_2015-10-21.txt] is txt file
[INFO ] [2016-03-14 15:48:36, 255] core.FileScanner  - directory scan >> C:\VirtualData\test\PullLog
[INFO ] [2016-03-14 15:48:36, 256] core.FileScanner  - [PullLog_2015-09-20.txt] is txt file
[INFO ] [2016-03-14 15:48:36, 257] core.FileScanner  - [PullLog_2015-09-21.txt] is txt file
[INFO ] [2016-03-14 15:48:36, 258] core.FileScanner  - [PullLog_2015-10-21.txt] is txt file
[INFO ] [2016-03-14 15:49:38, 425] core.FileScanner  - C:\VirtualData\test is directory
[INFO ] [2016-03-14 15:49:38, 429] main.MainActivity - logger : C:\VirtualData\test
[INFO ] [2016-03-14 15:49:39, 159] main.MainActivity - scan button click
[INFO ] [2016-03-14 15:49:39, 160] core.FileScanner  - C:\VirtualData\test is directory
[INFO ] [2016-03-14 15:49:39, 161] main.MainActivity - logger : C:\VirtualData\test
[INFO ] [2016-03-14 15:49:39, 163] core.FileScanner  - directory scan >> C:\VirtualData\test\2014-10-20
[INFO ] [2016-03-14 15:49:39, 164] core.FileScanner  - directory scan >> C:\VirtualData\test\HttpLog
[INFO ] [2016-03-14 15:49:39, 165] core.FileScanner  - [HttpLog_2015-09-20.txt] is txt file
[DEBUG] [2016-03-14 15:49:39, 167] core.FileScanner  - >>>> PullLog : C:\VirtualData\test\HttpLog\HttpLog_2015-09-20.txt
[DEBUG] [2016-03-14 15:49:39, 167] core.FileScanner  - >>>> HttpLog : C:\VirtualData\test\HttpLog\HttpLog_2015-09-20.txt
[INFO ] [2016-03-14 15:49:39, 168] core.FileScanner  - [HttpLog_2015-09-21.txt] is txt file
[DEBUG] [2016-03-14 15:49:39, 169] core.FileScanner  - >>>> PullLog : C:\VirtualData\test\HttpLog\HttpLog_2015-09-21.txt
[DEBUG] [2016-03-14 15:49:39, 170] core.FileScanner  - >>>> HttpLog : C:\VirtualData\test\HttpLog\HttpLog_2015-09-21.txt
[INFO ] [2016-03-14 15:49:39, 171] core.FileScanner  - [HttpLog_2015-10-21.txt] is txt file
[DEBUG] [2016-03-14 15:49:39, 172] core.FileScanner  - >>>> PullLog : C:\VirtualData\test\HttpLog\HttpLog_2015-10-21.txt
[DEBUG] [2016-03-14 15:49:39, 173] core.FileScanner  - >>>> HttpLog : C:\VirtualData\test\HttpLog\HttpLog_2015-10-21.txt
[INFO ] [2016-03-14 15:49:39, 178] core.FileScanner  - directory scan >> C:\VirtualData\test\PullLog
[INFO ] [2016-03-14 15:49:39, 180] core.FileScanner  - [PullLog_2015-09-20.txt] is txt file
[DEBUG] [2016-03-14 15:49:39, 181] core.FileScanner  - >>>> PullLog : C:\VirtualData\test\PullLog\PullLog_2015-09-20.txt
[DEBUG] [2016-03-14 15:49:39, 181] core.FileScanner  - >>>> HttpLog : C:\VirtualData\test\PullLog\PullLog_2015-09-20.txt
[INFO ] [2016-03-14 15:49:39, 182] core.FileScanner  - [PullLog_2015-09-21.txt] is txt file
[DEBUG] [2016-03-14 15:49:39, 183] core.FileScanner  - >>>> PullLog : C:\VirtualData\test\PullLog\PullLog_2015-09-21.txt
[DEBUG] [2016-03-14 15:49:39, 184] core.FileScanner  - >>>> HttpLog : C:\VirtualData\test\PullLog\PullLog_2015-09-21.txt
[INFO ] [2016-03-14 15:49:39, 185] core.FileScanner  - [PullLog_2015-10-21.txt] is txt file
[DEBUG] [2016-03-14 15:49:39, 185] core.FileScanner  - >>>> PullLog : C:\VirtualData\test\PullLog\PullLog_2015-10-21.txt
[DEBUG] [2016-03-14 15:49:39, 186] core.FileScanner  - >>>> HttpLog : C:\VirtualData\test\PullLog\PullLog_2015-10-21.txt
[INFO ] [2016-03-14 15:52:11, 150] core.FileScanner  - C:\VirtualData\test is directory
[INFO ] [2016-03-14 15:52:11, 155] main.MainActivity - logger : C:\VirtualData\test
[INFO ] [2016-03-14 15:52:12, 247] main.MainActivity - scan button click
[INFO ] [2016-03-14 15:52:12, 248] core.FileScanner  - C:\VirtualData\test is directory
[INFO ] [2016-03-14 15:52:12, 249] main.MainActivity - logger : C:\VirtualData\test
[INFO ] [2016-03-14 15:52:12, 250] core.FileScanner  - directory scan >> C:\VirtualData\test\2014-10-20
